Zone,Month,Day,Year,Hour,Total Demand
1,6,1,2022,0,0
1,6,1,2022,1,0
1,6,1,2022,2,0
1,6,1,2022,3,0
1,6,1,2022,4,1
1,6,1,2022,5,0
1,6,1,2022,6,3
1,6,1,2022,7,0
1,6,1,2022,8,0
1,6,1,2022,9,0
1,6,1,2022,10,0
1,6,1,2022,11,1
1,6,1,2022,12,1
1,6,1,2022,13,1
1,6,1,2022,14,0
1,6,1,2022,15,2
1,6,1,2022,16,3
1,6,1,2022,17,0
1,6,1,2022,18,1
1,6,1,2022,19,1
1,6,1,2022,20,1
1,6,1,2022,21,0
1,6,1,2022,22,0
1,6,1,2022,23,0
1,6,1,2022,24,0
1,6,2,2022,0,0
1,6,2,2022,1,0
1,6,2,2022,2,0
1,6,2,2022,3,0
1,6,2,2022,4,2
1,6,2,2022,5,2
1,6,2,2022,6,1
1,6,2,2022,7,0
1,6,2,2022,8,1
1,6,2,2022,9,0
1,6,2,2022,10,3
1,6,2,2022,11,2
1,6,2,2022,12,1
1,6,2,2022,13,1
1,6,2,2022,14,3
1,6,2,2022,15,1
1,6,2,2022,16,1
1,6,2,2022,17,3
1,6,2,2022,18,3
1,6,2,2022,19,3
1,6,2,2022,20,0
1,6,2,2022,21,0
1,6,2,2022,22,0
1,6,2,2022,23,0
1,6,2,2022,24,0
1,6,3,2022,0,0
1,6,3,2022,1,0
1,6,3,2022,2,0
1,6,3,2022,3,0
1,6,3,2022,4,1
1,6,3,2022,5,2
1,6,3,2022,6,0
1,6,3,2022,7,0
1,6,3,2022,8,0
1,6,3,2022,9,3
1,6,3,2022,10,0
1,6,3,2022,11,1
1,6,3,2022,12,1
1,6,3,2022,13,2
1,6,3,2022,14,2
1,6,3,2022,15,2
1,6,3,2022,16,3
1,6,3,2022,17,3
1,6,3,2022,18,3
1,6,3,2022,19,4
1,6,3,2022,20,0
1,6,3,2022,21,1
1,6,3,2022,22,0
1,6,3,2022,23,0
1,6,3,2022,24,0
1,6,4,2022,0,0
1,6,4,2022,1,0
1,6,4,2022,2,1
1,6,4,2022,3,1
1,6,4,2022,4,2
1,6,4,2022,5,0
1,6,4,2022,6,0
1,6,4,2022,7,1
1,6,4,2022,8,0
1,6,4,2022,9,3
1,6,4,2022,10,0
1,6,4,2022,11,2
1,6,4,2022,12,1
1,6,4,2022,13,1
1,6,4,2022,14,4
1,6,4,2022,15,5
1,6,4,2022,16,2
1,6,4,2022,17,2
1,6,4,2022,18,2
1,6,4,2022,19,1
1,6,4,2022,20,0
1,6,4,2022,21,0
1,6,4,2022,22,0
1,6,4,2022,23,0
1,6,4,2022,24,0
1,6,5,2022,0,0
1,6,5,2022,1,0
1,6,5,2022,2,0
1,6,5,2022,3,0
1,6,5,2022,4,1
1,6,5,2022,5,0
1,6,5,2022,6,1
1,6,5,2022,7,0
1,6,5,2022,8,1
1,6,5,2022,9,2
1,6,5,2022,10,0
1,6,5,2022,11,0
1,6,5,2022,12,1
1,6,5,2022,13,7
1,6,5,2022,14,6
1,6,5,2022,15,8
1,6,5,2022,16,6
1,6,5,2022,17,4
1,6,5,2022,18,4
1,6,5,2022,19,3
1,6,5,2022,20,1
1,6,5,2022,21,1
1,6,5,2022,22,0
1,6,5,2022,23,0
1,6,5,2022,24,0
1,6,6,2022,0,1
1,6,6,2022,1,0
1,6,6,2022,2,0
1,6,6,2022,3,0
1,6,6,2022,4,0
1,6,6,2022,5,1
1,6,6,2022,6,0
1,6,6,2022,7,2
1,6,6,2022,8,1
1,6,6,2022,9,0
1,6,6,2022,10,0
1,6,6,2022,11,1
1,6,6,2022,12,1
1,6,6,2022,13,1
1,6,6,2022,14,2
1,6,6,2022,15,3
1,6,6,2022,16,3
1,6,6,2022,17,1
1,6,6,2022,18,4
1,6,6,2022,19,0
1,6,6,2022,20,1
1,6,6,2022,21,1
1,6,6,2022,22,2
1,6,6,2022,23,0
1,6,6,2022,24,0
1,6,7,2022,0,0
1,6,7,2022,1,0
1,6,7,2022,2,0
1,6,7,2022,3,0
1,6,7,2022,4,1
1,6,7,2022,5,1
1,6,7,2022,6,0
1,6,7,2022,7,0
1,6,7,2022,8,0
1,6,7,2022,9,1
1,6,7,2022,10,0
1,6,7,2022,11,0
1,6,7,2022,12,1
1,6,7,2022,13,1
1,6,7,2022,14,4
1,6,7,2022,15,3
1,6,7,2022,16,3
1,6,7,2022,17,3
1,6,7,2022,18,4
1,6,7,2022,19,1
1,6,7,2022,20,0
1,6,7,2022,21,0
1,6,7,2022,22,0
1,6,7,2022,23,0
1,6,7,2022,24,0
1,6,8,2022,0,0
1,6,8,2022,1,0
1,6,8,2022,2,0
1,6,8,2022,3,0
1,6,8,2022,4,0
1,6,8,2022,5,2
1,6,8,2022,6,0
1,6,8,2022,7,0
1,6,8,2022,8,1
1,6,8,2022,9,0
1,6,8,2022,10,1
1,6,8,2022,11,2
1,6,8,2022,12,5
1,6,8,2022,13,3
1,6,8,2022,14,5
1,6,8,2022,15,0
1,6,8,2022,16,3
1,6,8,2022,17,4
1,6,8,2022,18,2
1,6,8,2022,19,2
1,6,8,2022,20,1
1,6,8,2022,21,0
1,6,8,2022,22,0
1,6,8,2022,23,0
1,6,8,2022,24,0
1,6,9,2022,0,0
1,6,9,2022,1,0
1,6,9,2022,2,0
1,6,9,2022,3,0
1,6,9,2022,4,0
1,6,9,2022,5,0
1,6,9,2022,6,0
1,6,9,2022,7,2
1,6,9,2022,8,0
1,6,9,2022,9,2
1,6,9,2022,10,3
1,6,9,2022,11,0
1,6,9,2022,12,1
1,6,9,2022,13,3
1,6,9,2022,14,3
1,6,9,2022,15,5
1,6,9,2022,16,5
1,6,9,2022,17,4
1,6,9,2022,18,5
1,6,9,2022,19,2
1,6,9,2022,20,1
1,6,9,2022,21,1
1,6,9,2022,22,0
1,6,9,2022,23,0
1,6,9,2022,24,0
1,6,10,2022,0,0
1,6,10,2022,1,1
1,6,10,2022,2,0
1,6,10,2022,3,0
1,6,10,2022,4,0
1,6,10,2022,5,1
1,6,10,2022,6,2
1,6,10,2022,7,0
1,6,10,2022,8,2
1,6,10,2022,9,1
1,6,10,2022,10,0
1,6,10,2022,11,0
1,6,10,2022,12,0
1,6,10,2022,13,1
1,6,10,2022,14,2
1,6,10,2022,15,9
1,6,10,2022,16,2
1,6,10,2022,17,1
1,6,10,2022,18,6
1,6,10,2022,19,3
1,6,10,2022,20,0
1,6,10,2022,21,0
1,6,10,2022,22,0
1,6,10,2022,23,0
1,6,10,2022,24,0
1,6,11,2022,0,0
1,6,11,2022,1,0
1,6,11,2022,2,0
1,6,11,2022,3,0
1,6,11,2022,4,1
1,6,11,2022,5,1
1,6,11,2022,6,1
1,6,11,2022,7,0
1,6,11,2022,8,1
1,6,11,2022,9,0
1,6,11,2022,10,1
1,6,11,2022,11,2
1,6,11,2022,12,0
1,6,11,2022,13,0
1,6,11,2022,14,4
1,6,11,2022,15,8
1,6,11,2022,16,2
1,6,11,2022,17,4
1,6,11,2022,18,4
1,6,11,2022,19,2
1,6,11,2022,20,0
1,6,11,2022,21,0
1,6,11,2022,22,0
1,6,11,2022,23,0
1,6,11,2022,24,0
1,6,12,2022,0,0
1,6,12,2022,1,0
1,6,12,2022,2,0
1,6,12,2022,3,1
1,6,12,2022,4,1
1,6,12,2022,5,2
1,6,12,2022,6,1
1,6,12,2022,7,1
1,6,12,2022,8,1
1,6,12,2022,9,2
1,6,12,2022,10,2
1,6,12,2022,11,1
1,6,12,2022,12,0
1,6,12,2022,13,2
1,6,12,2022,14,2
1,6,12,2022,15,7
1,6,12,2022,16,4
1,6,12,2022,17,3
1,6,12,2022,18,2
1,6,12,2022,19,2
1,6,12,2022,20,1
1,6,12,2022,21,0
1,6,12,2022,22,1
1,6,12,2022,23,0
1,6,12,2022,24,0
1,6,13,2022,0,1
1,6,13,2022,1,0
1,6,13,2022,2,0
1,6,13,2022,3,0
1,6,13,2022,4,1
1,6,13,2022,5,0
1,6,13,2022,6,3
1,6,13,2022,7,1
1,6,13,2022,8,0
1,6,13,2022,9,2
1,6,13,2022,10,2
1,6,13,2022,11,1
1,6,13,2022,12,1
1,6,13,2022,13,1
1,6,13,2022,14,2
1,6,13,2022,15,4
1,6,13,2022,16,1
1,6,13,2022,17,3
1,6,13,2022,18,3
1,6,13,2022,19,3
1,6,13,2022,20,0
1,6,13,2022,21,0
1,6,13,2022,22,0
1,6,13,2022,23,0
1,6,13,2022,24,0
1,6,14,2022,0,0
1,6,14,2022,1,1
1,6,14,2022,2,0
1,6,14,2022,3,0
1,6,14,2022,4,0
1,6,14,2022,5,0
1,6,14,2022,6,1
1,6,14,2022,7,0
1,6,14,2022,8,0
1,6,14,2022,9,1
1,6,14,2022,10,0
1,6,14,2022,11,1
1,6,14,2022,12,0
1,6,14,2022,13,2
1,6,14,2022,14,2
1,6,14,2022,15,1
1,6,14,2022,16,5
1,6,14,2022,17,2
1,6,14,2022,18,4
1,6,14,2022,19,0
1,6,14,2022,20,1
1,6,14,2022,21,1
1,6,14,2022,22,0
1,6,14,2022,23,0
1,6,14,2022,24,0
1,6,15,2022,0,0
1,6,15,2022,1,0
1,6,15,2022,2,0
1,6,15,2022,3,0
1,6,15,2022,4,1
1,6,15,2022,5,1
1,6,15,2022,6,0
1,6,15,2022,7,2
1,6,15,2022,8,2
1,6,15,2022,9,1
1,6,15,2022,10,0
1,6,15,2022,11,0
1,6,15,2022,12,1
1,6,15,2022,13,9
1,6,15,2022,14,6
1,6,15,2022,15,2
1,6,15,2022,16,2
1,6,15,2022,17,3
1,6,15,2022,18,3
1,6,15,2022,19,1
1,6,15,2022,20,1
1,6,15,2022,21,0
1,6,15,2022,22,0
1,6,15,2022,23,0
1,6,15,2022,24,0
1,6,16,2022,0,0
1,6,16,2022,1,0
1,6,16,2022,2,0
1,6,16,2022,3,0
1,6,16,2022,4,0
1,6,16,2022,5,3
1,6,16,2022,6,3
1,6,16,2022,7,0
1,6,16,2022,8,0
1,6,16,2022,9,0
1,6,16,2022,10,3
1,6,16,2022,11,2
1,6,16,2022,12,3
1,6,16,2022,13,3
1,6,16,2022,14,2
1,6,16,2022,15,5
1,6,16,2022,16,2
1,6,16,2022,17,5
1,6,16,2022,18,5
1,6,16,2022,19,4
1,6,16,2022,20,0
1,6,16,2022,21,0
1,6,16,2022,22,0
1,6,16,2022,23,0
1,6,16,2022,24,0
1,6,17,2022,0,0
1,6,17,2022,1,1
1,6,17,2022,2,1
1,6,17,2022,3,0
1,6,17,2022,4,1
1,6,17,2022,5,12
1,6,17,2022,6,2
1,6,17,2022,7,2
1,6,17,2022,8,2
1,6,17,2022,9,0
1,6,17,2022,10,0
1,6,17,2022,11,0
1,6,17,2022,12,1
1,6,17,2022,13,2
1,6,17,2022,14,6
1,6,17,2022,15,1
1,6,17,2022,16,7
1,6,17,2022,17,8
1,6,17,2022,18,8
1,6,17,2022,19,4
1,6,17,2022,20,4
1,6,17,2022,21,0
1,6,17,2022,22,1
1,6,17,2022,23,0
1,6,17,2022,24,0
1,6,18,2022,0,1
1,6,18,2022,1,0
1,6,18,2022,2,0
1,6,18,2022,3,1
1,6,18,2022,4,0
1,6,18,2022,5,2
1,6,18,2022,6,1
1,6,18,2022,7,2
1,6,18,2022,8,0
1,6,18,2022,9,3
1,6,18,2022,10,3
1,6,18,2022,11,3
1,6,18,2022,12,1
1,6,18,2022,13,3
1,6,18,2022,14,4
1,6,18,2022,15,4
1,6,18,2022,16,2
1,6,18,2022,17,9
1,6,18,2022,18,7
1,6,18,2022,19,6
1,6,18,2022,20,6
1,6,18,2022,21,0
1,6,18,2022,22,1
1,6,18,2022,23,0
1,6,18,2022,24,0
1,6,19,2022,0,0
1,6,19,2022,1,0
1,6,19,2022,2,0
1,6,19,2022,3,0
1,6,19,2022,4,1
1,6,19,2022,5,2
1,6,19,2022,6,3
1,6,19,2022,7,2
1,6,19,2022,8,0
1,6,19,2022,9,1
1,6,19,2022,10,3
1,6,19,2022,11,3
1,6,19,2022,12,2
1,6,19,2022,13,2
1,6,19,2022,14,4
1,6,19,2022,15,2
1,6,19,2022,16,10
1,6,19,2022,17,8
1,6,19,2022,18,3
1,6,19,2022,19,3
1,6,19,2022,20,0
1,6,19,2022,21,0
1,6,19,2022,22,1
1,6,19,2022,23,0
1,6,19,2022,24,0
1,6,20,2022,0,0
1,6,20,2022,1,0
1,6,20,2022,2,1
1,6,20,2022,3,2
1,6,20,2022,4,0
1,6,20,2022,5,0
1,6,20,2022,6,0
1,6,20,2022,7,2
1,6,20,2022,8,0
1,6,20,2022,9,0
1,6,20,2022,10,0
1,6,20,2022,11,3
1,6,20,2022,12,4
1,6,20,2022,13,3
1,6,20,2022,14,4
1,6,20,2022,15,3
1,6,20,2022,16,3
1,6,20,2022,17,3
1,6,20,2022,18,1
1,6,20,2022,19,4
1,6,20,2022,20,0
1,6,20,2022,21,0
1,6,20,2022,22,0
1,6,20,2022,23,0
1,6,20,2022,24,0
1,6,21,2022,0,0
1,6,21,2022,1,0
1,6,21,2022,2,0
1,6,21,2022,3,0
1,6,21,2022,4,0
1,6,21,2022,5,1
1,6,21,2022,6,0
1,6,21,2022,7,0
1,6,21,2022,8,0
1,6,21,2022,9,1
1,6,21,2022,10,1
1,6,21,2022,11,1
1,6,21,2022,12,0
1,6,21,2022,13,1
1,6,21,2022,14,1
1,6,21,2022,15,1
1,6,21,2022,16,3
1,6,21,2022,17,2
1,6,21,2022,18,2
1,6,21,2022,19,1
1,6,21,2022,20,0
1,6,21,2022,21,0
1,6,21,2022,22,0
1,6,21,2022,23,0
1,6,21,2022,24,0
1,6,22,2022,0,1
1,6,22,2022,1,0
1,6,22,2022,2,0
1,6,22,2022,3,0
1,6,22,2022,4,0
1,6,22,2022,5,1
1,6,22,2022,6,0
1,6,22,2022,7,0
1,6,22,2022,8,0
1,6,22,2022,9,0
1,6,22,2022,10,1
1,6,22,2022,11,0
1,6,22,2022,12,1
1,6,22,2022,13,2
